STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/9/2008,0,62,29
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/10/2008,0,46,25
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/11/2008,0,49,28
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/12/2008,0,47,33
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/13/2008,0,45,27
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/14/2008,0.08,56,30
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/15/2008,0.09,56,40
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/16/2008,0.06,48,33
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/17/2008,0,51,29
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/18/2008,0,44,31
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/19/2008,1.04,47,39
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/20/2008,0.18,51,35
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/21/2008,0,45,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/22/2008,0,49,33
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/23/2008,0,48,27
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/24/2008,0,47,25
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/25/2008,0,49,24
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/26/2008,0,60,37
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/27/2008,0.02,47,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/28/2008,0.06,46,36
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/29/2008,0,46,30
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/30/2008,0,48,24
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",3/31/2008,0.22,54,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/1/2008,0.27,68,52
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/2/2008,0,52,33
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/3/2008,0.06,51,24
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/4/2008,0.4,51,38
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/5/2008,0.02,57,46
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",4/6/2008,0,50,41
